ResponseId,Age,Country,EdLevel,Technology,Category
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),Language
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Go,Language
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,Language
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Java,Language
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
2,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",TypeScript,Language
3,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",C#,Language
10,35-44 years old,Serbia,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS,Language
10,35-44 years old,Serbia,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Language
10,35-44 years old,Serbia,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",TypeScript,Language
11,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Language
11,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Python,Language
11,35-44 years old,United States of America,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Ruby,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C#,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Delphi,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Java,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",PowerShell,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",SQL,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",TypeScript,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",VBA,Language
12,45-54 years old,Poland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Visual Basic (.Net),Language
19,25-34 years old,Germany,Some college/university study without earning a degree,C#,Language
19,25-34 years old,Germany,Some college/university study without earning a degree,HTML/CSS,Language
19,25-34 years old,Germany,Some college/university study without earning a degree,JavaScript,Language
19,25-34 years old,Germany,Some college/university study without earning a degree,PHP,Language
19,25-34 years old,Germany,Some college/university study without earning a degree,Python,Language
19,25-34 years old,Germany,Some college/university study without earning a degree,SQL,Language
23,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells),Language
23,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",C#,Language
23,45-54 years old,Ireland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",F#,Language
