ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
2,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,20,17,"Developer, full-stack",,,,,,United Kingdom of Great Britain and Northern Ireland,,,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Dynamodb;MongoDB;PostgreSQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Heroku;Netlify,Amazon Web Services (AWS);Heroku;Netlify,Amazon Web Services (AWS);Heroku;Netlify,Express;Next.js;Node.js;React,Express;Htmx;Node.js;React;Remix,Express;Node.js;React,,,,,,,Docker;Homebrew;Kubernetes;npm;Vite;Webpack,Docker;Homebrew;Kubernetes;npm;Vite;Webpack,Docker;Homebrew;Kubernetes;npm;Vite;Webpack,PyCharm;Visual Studio Code;WebStorm,PyCharm;Visual Studio Code;WebStorm,PyCharm;Visual Studio Code;WebStorm,MacOS;Windows,MacOS,,,,Microsoft Teams;Slack,Slack,Slack,,,,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,17,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,
3,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,37,27,Developer Experience,,,,,,United Kingdom of Great Britain and Northern Ireland,,,C#,C#,C#,Firebase Realtime Database,Firebase Realtime Database,Firebase Realtime Database,Google Cloud,Google Cloud,Google Cloud,ASP.NET CORE,ASP.NET CORE,ASP.NET CORE,Rasberry Pi,Rasberry Pi,Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,MSBuild,MSBuild,MSBuild,Visual Studio,Visual Studio,Visual Studio,Windows,Windows,,,,Google Chat;Google Meet;Microsoft Teams;Zoom,Google Chat;Google Meet;Zoom,Google Chat;Google Meet;Zoom,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
10,I am a developer by profession,35-44 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos,Traditional public search engine;AI-powered search/dev tool (free),15,11,"Developer, full-stack",,,,,,Serbia,,,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,MongoDB;MySQL;PostgreSQL;Redis,MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Express;Next.js;Node.js;React,Express;Next.js;Node.js;React,Express;Next.js;Node.js;React,,,,,,,npm;Webpack,npm;Webpack,npm;Webpack,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,Windows,Jira,Jira,Jira,Discord;Google Meet;Skype;Slack,Discord;Google Meet;Skype;Slack,Discord;Google Meet;Skype;Slack,ChatGPT;Google Gemini,ChatGPT;Google Gemini,ChatGPT;Google Gemini,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions,"Yes, somewhat",Yes,Indifferent,Increase productivity;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,Search for answers,,,,Search for answers,,,,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
11,"I used to be a developer by profession, but no longer am",35-44 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Books;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,20,,Project manager,,,,,,United States of America,,,JavaScript;Python;Ruby,C#;Crystal;Java;JavaScript;Python;Ruby,JavaScript;Python;Ruby,Elasticsearch;MongoDB;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Google Cloud,Google Cloud,Node.js;React;Ruby on Rails,Django;Node.js;React;Ruby on Rails,Node.js;React;Ruby on Rails,,,,,,,Ansible;Docker;Kubernetes,Ansible;Docker;Kubernetes,Ansible;Docker;Kubernetes,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows,Confluence;GitHub Discussions;Jira;Smartsheet,Confluence;GitHub Discussions;Jira,Confluence;GitHub Discussions;Jira,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Google Meet;Microsoft Teams;Slack;Zoom,ChatGPT;GitHub Copilot;Google Gemini;Meta AI;Visual Studio Intellicode,GitHub Copilot;Google Gemini;Visual Studio Intellicode,GitHub Copilot;Google Gemini;Visual Studio Intellicode,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely",Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers,Project planning;Testing code;Generating content or synthetic data,Committing and reviewing code;Deployment and monitoring;Predictive analytics,,,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,15,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,3-5 times a week,6-10 times a week,6-10 times a week,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions,DevOps function;Automated testing;Observability tools,Cloud only (single or multi-cloud),Internal Developer portal,Healthcare,50,0,0,25,10,0,15,0,0,Appropriate in length,Easy,,8
12,I am a developer by profession,45-54 years old,"Employed, full-time",In-person,Apples,Hobby;School or academic work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;School (i.e., University, College, etc)",,,30,25,Developer Advocate,,,,,,Poland,,,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Cloudflare,Cloudflare,Cloudflare,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,,,,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Docker;npm;Webpack;Yarn,Docker;npm;Webpack;Yarn,Docker;npm;Webpack;Yarn,Android Studio;IntelliJ IDEA;Netbeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code;WebStorm,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),,,,Microsoft Teams,Microsoft Teams,Microsoft Teams,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
19,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Friend or family member",Technical documentation;Blogs;Books;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;AI;Certification videos,API document(s) and/or SDK document(s);Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),12,10,"Developer, full-stack",,,,,,Germany,,,C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery,ASP.NET CORE;Blazor,ASP.NET CORE;Blazor,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,Ansible;Chocolatey;MSBuild,MSBuild,MSBuild,Visual Studio;Visual Studio Code,Visual Studio,Visual Studio,Other Linux-based;Ubuntu;Windows,Windows,Azure Devops,Azure Devops,Azure Devops,Microsoft Teams;Telegram,Microsoft Teams;Telegram,Microsoft Teams;Telegram,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Debugging and getting help;Committing and reviewing code;Predictive analytics,Project planning;Deployment and monitoring,Documenting code;Testing code,,Writing code;Search for answers;Generating content or synthetic data,,,No,Energy demand,Not everyone uses them,Yes,Individual contributor,12,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,Never,3-5 times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Tracking my work;Complexity of tech stack for build;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,10,0,10,60,10,10,0,0,0,Appropriate in length,Easy,,10
23,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Stack Overflow;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,25,18,"Developer, back-end",,,,,,Ireland,,,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;F#;Go,Bash/Shell (all shells);C#;F#,Redis;SQLite,Redis;SQLite,Redis;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Amazon Web Services (AWS),ASP.NET CORE,ASP.NET CORE,ASP.NET CORE,,,,.NET (5+) ,.NET (5+) ;.NET MAUI;Roslyn,.NET (5+) ,MSBuild;NuGet,MSBuild;NuGet;Terraform,MSBuild;NuGet,Rider;Visual Studio Code,Rider;Visual Studio;Visual Studio Code,Rider;Visual Studio Code,MacOS,Ubuntu;Windows,Azure Devops,GitHub Discussions,,Microsoft Teams,Microsoft Teams,Microsoft Teams,GitHub Copilot,Bing AI;ChatGPT;GitHub Copilot;Perplexity AI,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not really",Yes,Very favorable,Increase productivity;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Testing code;Search for answers,Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Predictive analytics,Generating content or synthetic data,Learning about a codebase;Writing code;Testing code;Search for answers,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Not everyone uses them,Yes,Individual contributor,18,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,1-2 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Amount of technical debt,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Banking/Financial Services,30,10,0,20,20,0,20,0,0,Appropriate in length,Neither easy nor difficult,,9
24,I am a developer by profession,55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Contribute to open-source projects;Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,44,37,"Developer, desktop or enterprise applications",,,,,,United States of America,,,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;SQL,HTML/CSS;JavaScript;PHP;Python;SQL,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),Django;jQuery;WordPress,Django;jQuery;WordPress,Django;jQuery;WordPress,,,,Pandas,Pandas,Pandas,,,,Vim,Vim;Visual Studio,Vim,Windows,Other Linux-based,Redmine,Redmine,Redmine,Discord;Zoom,Discord;Zoom,Discord;Zoom,,,,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
27,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Colleague;On the job training;Online Courses or Certification,,,20,17,"Developer, full-stack",,,,,,Italy,,,C#;HTML/CSS;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL,Microsoft SQL Server;PostgreSQL;Presto,PostgreSQL;Presto,PostgreSQL;Presto,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;Node.js,Node.js,Node.js,,,,.NET Framework (1.0 - 4.8);Apache Spark,Apache Spark,Apache Spark,Docker,Docker,Docker,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,MacOS;Windows,MacOS;Windows,Markdown File;Miro;Notion,Markdown File;Miro;Notion,Markdown File;Miro;Notion,Google Meet;Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,Quickly finding code solutions,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Committing and reviewing code;Deployment and monitoring;Predictive analytics,Project planning;Documenting code,,Learning about a codebase;Generating content or synthetic data,Writing code;Debugging and getting help;Testing code;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,17,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,None of these,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Media & Advertising Services,0,10,10,25,20,10,5,10,10,Appropriate in length,Neither easy nor difficult,,7
29,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Other (please specify):;Bootstrapping a business,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,18,12,"Developer, full-stack",,,,,,United Kingdom of Great Britain and Northern Ireland,,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Hetzner;Microsoft Azure;VMware,Amazon Web Services (AWS);Colocation;Hetzner;Microsoft Azure;VMware,Amazon Web Services (AWS);Hetzner;Microsoft Azure;VMware,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress,ASP.NET;ASP.NET CORE;jQuery;WordPress,,,,.NET (5+) ;.NET MAUI;Xamarin,.NET (5+) ;.NET MAUI,.NET (5+) ;.NET MAUI,,,,Kate;Nano;Notepad++;Visual Studio,Kate;Nano;Notepad++;PhpStorm;Visual Studio;Xcode,Kate;Nano;Notepad++;Visual Studio,iOS;iPadOS;Windows,BSD;Debian;iOS;iPadOS;MacOS;Red Hat;Ubuntu;Windows,Azure Devops;GitHub Discussions;Markdown File;Wikis,Azure Devops;GitHub Discussions;Markdown File;Wikis,Azure Devops;GitHub Discussions;Markdown File;Wikis,Microsoft Teams,Slack,,ChatGPT;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, but I plan to soon",Indifferent,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,Other (please specify):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
